Code,Open,High,Low,Close,Volumn
00713,29.70,29.93,29.70,29.88,682
00713,29.90,29.95,29.82,29.84,716
00713,29.84,29.90,29.60,29.80,541
00713,29.84,29.95,29.84,29.92,115
00713,29.94,30.11,29.93,30.10,288
00713,30.10,30.42,30.10,30.40,413
00713,30.40,30.80,30.40,30.70,3507
00713,30.71,30.71,30.50,30.60,110
00713,30.70,30.81,30.63,30.75,3388
00713,30.74,30.75,30.66,30.72,181
00713,30.75,30.93,30.70,30.91,3380
00713,30.95,31.01,30.85,31.00,1750
00713,31.01,31.18,30.81,31.18,247
00713,31.05,31.05,30.76,30.83,527
00713,30.83,30.92,30.83,30.90,269
00713,30.87,30.90,30.70,30.85,107
00713,30.96,31.02,30.95,30.97,37
00713,30.97,31.10,30.97,31.07,255
00713,31.03,31.03,30.90,30.94,66
00713,30.94,30.94,30.86,30.91,87
00713,30.89,30.91,30.57,30.57,274
00713,30.75,30.75,30.57,30.61,46
00713,30.64,30.75,30.63,30.75,41
00713,30.78,30.78,30.70,30.76,64
00713,30.76,30.78,30.68,30.72,60
00713,30.76,30.76,30.64,30.69,58
00713,30.68,30.68,30.60,30.63,67
00713,30.70,30.70,30.65,30.70,47
00713,30.70,30.72,30.60,30.68,38
00713,30.68,30.75,30.53,30.58,108
00713,30.55,30.58,30.42,30.55,320
00713,30.60,30.60,30.45,30.45,54
00713,30.45,30.45,30.35,30.40,145
00713,30.39,30.54,30.33,30.54,166
00713,30.48,30.50,30.45,30.50,232
00713,30.69,30.69,30.60,30.60,35
00713,30.50,30.60,30.50,30.57,34
00713,30.66,30.70,30.66,30.70,30
00713,30.70,30.90,30.68,30.89,68
00713,30.96,31.05,30.96,31.05,43
00713,31.05,31.05,30.99,30.99,19
00713,31.00,31.00,30.80,30.84,15
00713,31.00,31.00,30.63,30.64,407
00713,30.67,30.67,30.58,30.58,191
00713,30.39,30.42,30.35,30.36,250
00713,30.41,30.53,30.15,30.46,177
00713,30.46,30.46,30.34,30.34,11
00713,30.50,30.50,30.26,30.32,24
00713,30.29,30.29,29.89,29.90,247
00713,29.90,29.94,29.78,29.86,142
00713,29.91,29.94,29.75,29.88,112
00713,30.08,30.10,30.08,30.08,15
00713,30.42,30.42,30.05,30.07,16
00713,30.13,30.13,30.12,30.12,107
00713,30.21,30.29,30.21,30.23,28
00713,30.05,30.05,30.00,30.01,63
00713,30.03,30.16,30.03,30.16,12
00713,30.28,30.28,30.07,30.10,10
00713,30.17,30.19,30.13,30.18,810
00713,30.12,30.16,30.07,30.14,860
00713,30.06,30.10,30.06,30.06,819
00713,30.45,30.45,30.04,30.04,813
00713,30.13,30.13,29.84,29.85,893
00713,29.85,30.07,29.84,30.07,847
00713,30.17,30.24,30.16,30.20,822
00713,30.44,30.44,30.16,30.16,851
00713,30.21,30.45,30.16,30.45,218
00713,30.50,30.60,30.45,30.60,357
00713,30.60,30.63,30.50,30.60,422
00713,30.60,30.66,30.60,30.64,41
00713,30.64,30.83,30.64,30.82,71
00713,30.82,30.83,30.70,30.79,232
00713,30.80,30.83,30.70,30.70,138
00713,30.77,30.77,30.71,30.71,24
00713,30.88,31.00,30.88,30.91,80
00713,30.90,31.06,30.90,31.05,65
00713,31.05,31.12,31.05,31.10,135
00713,31.10,31.12,31.07,31.07,88
00713,31.30,31.35,31.16,31.16,38
00713,31.16,31.31,31.16,31.25,160
00713,31.20,31.22,31.13,31.22,128
00713,31.37,31.37,31.10,31.10,119
00713,31.10,31.10,31.02,31.07,38
00713,31.16,31.30,31.14,31.14,44
00713,31.19,31.19,31.06,31.12,14
00713,31.37,31.40,31.27,31.30,30
00713,31.28,31.28,31.02,31.02,8
00713,30.76,30.99,30.76,30.97,11
00713,31.00,31.20,31.00,31.11,40
00713,31.20,31.20,30.96,30.96,8
00713,30.41,30.52,30.40,30.50,14
00713,30.02,30.50,29.36,29.79,1462
00713,30.00,30.18,29.99,29.99,140
00713,30.10,30.10,30.10,30.10,61
00713,30.00,30.00,29.44,29.86,252
00713,29.99,30.01,29.94,29.98,31
00713,30.45,30.45,30.29,30.39,66
00713,30.45,30.55,30.20,30.20,1709
00713,30.55,30.55,30.41,30.46,1814
00713,30.65,30.69,30.57,30.62,3528
00713,31.50,31.50,30.61,30.62,3524
00713,30.62,30.71,30.40,30.66,3521
00713,30.29,30.49,30.29,30.35,3502
00713,30.48,30.48,30.20,30.25,1042
00713,30.28,30.30,30.27,30.28,28
00713,30.28,30.41,30.28,30.40,11
00713,30.33,30.50,30.33,30.50,8
00713,30.50,30.50,30.29,30.30,3541
00713,30.53,30.64,30.53,30.55,5221
00713,30.65,30.77,30.64,30.68,3335
00713,30.73,30.73,30.58,30.61,3304
00713,30.62,30.63,30.61,30.61,5
00713,30.61,30.62,30.57,30.62,7
00713,30.39,30.70,30.39,30.69,3321
00713,30.60,30.76,30.60,30.65,5432
00713,30.77,30.82,30.74,30.74,3345
00713,30.83,30.92,30.61,30.64,3305
00713,30.64,30.64,30.27,30.30,90
00713,29.23,30.45,29.23,30.45,88
