Code,Date,Open,High,Low,Close,Volumn
0050,20130102,54.00,54.65,53.90,54.40,16487
0050,20130103,54.90,55.05,54.65,54.85,29020
0050,20130104,54.85,54.85,54.40,54.50,9837
0050,20130107,54.55,54.55,53.90,54.25,8910
0050,20130108,54.00,54.20,53.65,53.90,12507
0050,20130109,53.75,54.30,53.75,54.10,7529
0050,20130110,54.30,54.65,54.15,54.50,13953
0050,20130111,54.70,54.80,54.35,54.45,11837
0050,20130114,54.00,54.50,53.80,54.50,7282
0050,20130115,54.20,54.45,53.90,54.00,6609
0050,20130116,54.05,54.05,53.70,53.70,8142
0050,20130117,53.90,54.20,53.20,53.30,10084
0050,20130118,53.95,53.95,53.70,53.95,5410
0050,20130121,53.95,54.05,53.55,53.90,4525
0050,20130122,54.30,54.30,53.70,54.05,10501
0050,20130123,54.20,54.30,53.90,54.00,7266
0050,20130124,53.75,53.90,53.25,53.70,11334
0050,20130125,53.65,53.70,53.20,53.50,8521
0050,20130128,53.70,53.95,53.65,53.75,8708
0050,20130129,53.95,54.50,53.95,54.50,21973
0050,20130130,54.50,54.75,54.45,54.60,21672
0050,20130131,54.50,54.60,54.30,54.60,12643
0050,20130201,54.70,54.85,54.60,54.80,15057
0050,20130204,54.85,55.40,54.85,55.20,30980
0050,20130205,54.90,55.10,54.90,55.00,15988
0050,20130206,55.20,55.50,55.20,55.40,29434
0050,20130218,55.50,55.90,55.45,55.60,29739
0050,20130219,55.60,55.75,55.55,55.65,16817
0050,20130220,55.90,56.20,55.90,56.10,21814
0050,20130221,55.90,56.05,55.70,55.70,9951
0050,20130222,55.60,55.85,55.35,55.50,9130
0050,20130223,55.70,55.90,55.65,55.80,6375
0050,20130225,55.80,55.80,55.55,55.70,10431
0050,20130226,55.25,55.40,55.05,55.10,6753
0050,20130227,55.05,55.20,54.95,55.20,4605
0050,20130301,55.35,55.55,55.30,55.40,5730
0050,20130304,55.40,55.45,54.70,54.75,8270
0050,20130305,54.90,55.35,54.90,55.20,16081
0050,20130306,55.70,55.75,55.20,55.45,4640
0050,20130307,55.20,55.65,55.20,55.40,5956
0050,20130308,55.60,55.90,55.60,55.80,12380
0050,20130311,55.80,56.10,55.60,55.90,12066
0050,20130312,55.90,56.00,55.55,55.55,7442
0050,20130313,55.60,55.95,55.30,55.65,10205
0050,20130314,55.50,55.60,55.35,55.60,12133
0050,20130315,55.60,55.70,55.20,55.20,9551
0050,20130318,55.00,55.00,54.30,54.50,13219
0050,20130319,54.70,54.75,54.50,54.60,3373
0050,20130320,54.35,54.55,54.15,54.25,8821
0050,20130321,54.40,54.45,54.25,54.30,4929
0050,20130322,54.20,54.35,54.15,54.15,8202
0050,20130325,54.75,54.75,54.45,54.55,2648
0050,20130326,54.55,54.60,54.45,54.55,1956
0050,20130327,54.60,54.85,54.45,54.70,4540
0050,20130328,54.70,54.75,54.40,54.55,3315
0050,20130329,54.85,55.15,54.70,55.10,5875
0050,20130401,55.10,55.20,54.95,55.00,3729
0050,20130402,55.00,55.10,54.70,54.85,4937
0050,20130403,55.10,55.15,54.90,55.00,2925
0050,20130408,54.45,54.50,53.85,53.85,18559
0050,20130409,54.00,54.05,53.60,53.70,7681
0050,20130410,53.75,53.95,53.60,53.80,3118
0050,20130411,53.95,54.40,53.95,54.35,9842
0050,20130412,54.40,54.50,54.20,54.35,2297
0050,20130415,54.25,54.35,53.75,53.90,4111
0050,20130416,53.50,54.00,53.45,54.00,5150
0050,20130417,54.00,54.10,53.85,53.90,4995
0050,20130418,53.55,54.10,53.55,53.85,5605
0050,20130419,54.25,55.50,54.25,55.45,22459
0050,20130422,55.55,55.65,55.30,55.40,11412
0050,20130423,55.40,55.40,54.95,55.10,3673
0050,20130424,55.35,55.75,55.25,55.55,12432
0050,20130425,55.45,55.75,55.40,55.65,11885
0050,20130426,55.80,56.20,55.80,55.85,11113
0050,20130429,55.90,56.00,55.75,55.80,8140
0050,20130430,56.25,56.55,56.25,56.40,17616
0050,20130502,56.35,56.65,56.35,56.55,15919
0050,20130503,56.85,57.00,56.65,56.65,13217
0050,20130506,57.00,57.15,56.90,56.90,8575
0050,20130507,56.90,57.20,56.80,57.10,14262
0050,20130508,57.20,58.10,57.20,57.85,21793
0050,20130509,58.20,58.45,58.15,58.20,17797
0050,20130510,58.10,58.15,57.85,57.90,9240
0050,20130513,57.90,58.00,57.60,57.75,6700
0050,20130514,58.00,58.25,57.75,57.90,10934
0050,20130515,58.10,58.10,57.65,57.95,11719
0050,20130516,58.50,58.90,58.40,58.70,32187
0050,20130517,58.60,58.70,58.40,58.40,8651
0050,20130520,58.30,58.50,58.10,58.30,7993
0050,20130521,58.35,58.70,58.15,58.30,6989
0050,20130522,58.65,58.70,58.20,58.25,7429
0050,20130523,57.90,58.00,57.00,57.00,14865
0050,20130524,57.00,57.20,56.60,56.85,6949
0050,20130527,56.80,57.35,56.80,57.35,3285
0050,20130528,57.40,57.45,57.15,57.15,2342
0050,20130529,57.35,57.80,57.35,57.65,7988
0050,20130530,57.40,57.45,56.85,56.95,8823
0050,20130531,57.50,57.70,56.80,56.95,9240
0050,20130603,56.45,56.75,56.25,56.70,6538
0050,20130604,56.70,56.80,56.35,56.60,4243
0050,20130605,56.55,56.75,56.35,56.60,3459
0050,20130606,56.20,56.30,55.75,55.90,15077
0050,20130607,55.95,56.15,55.90,56.05,9058
0050,20130610,56.55,56.70,56.40,56.50,3505
0050,20130611,56.55,56.65,56.25,56.35,4689
0050,20130613,55.90,55.90,55.00,55.00,33023
0050,20130614,55.15,55.15,54.70,54.80,18099
0050,20130617,54.85,55.15,54.80,55.15,5347
0050,20130618,55.15,55.40,54.85,55.40,8771
0050,20130619,55.50,55.50,55.15,55.30,6076
0050,20130620,55.00,55.00,54.20,54.25,25487
0050,20130621,54.10,54.10,53.25,53.60,34639
0050,20130624,53.40,53.50,53.10,53.40,21260
0050,20130625,53.30,53.70,52.95,53.00,19437
0050,20130626,53.60,53.80,53.30,53.70,9915
0050,20130627,54.05,54.35,53.90,54.35,22275
