Date,Gold(USD)_Open,Gold(USD)_High,Gold(USD)_Low,Gold(USD)_Price,Gold(USD)_Volume,NASDAQ_Open,NASDAQ_High,NASDAQ_Low,NASDAQ_Close,NASDAQ_Volume,PHLX_Open,PHLX_High,PHLX_Low,PHLX_Close,SP500_Open,SP500_High,SP500_Low,SP500_Close,SP500_Volume,USD/TWD_Open,USD/TWD_High,USD/TWD_Low,USD/TWD_Price,投信買賣超金額,外資買賣超金額,自營買賣超金額,電子期_Open,電子期_High,電子期_Low,電子期_Close,金融期_Open,金融期_High,金融期_Low,金融期_Close,台指期_Open,台指期_High,台指期_Low,台指期_Close,50_Open,50_High,50_Low,50_Close,50_Volume,50_Sign,51_Open,51_High,51_Low,51_Close,51_Volume,51_Sign,52_Open,52_High,52_Low,52_Close,52_Volume,52_Sign,53_Open,53_High,53_Low,53_Close,53_Volume,53_Sign,54_Open,54_High,54_Low,54_Close,54_Volume,54_Sign,55_Open,55_High,55_Low,55_Close,55_Volume,55_Sign,56_Open,56_High,56_Low,56_Close,56_Volume,56_Sign,57_Open,57_High,57_Low,57_Close,57_Volume,57_Sign,58_Open,58_High,58_Low,58_Close,58_Volume,58_Sign,59_Open,59_High,59_Low,59_Close,59_Volume,59_Sign,6201_Open,6201_High,6201_Low,6201_Close,6201_Volume,6201_Sign,6203_Open,6203_High,6203_Low,6203_Close,6203_Volume,6203_Sign,6204_Open,6204_High,6204_Low,6204_Close,6204_Volume,6204_Sign,6208_Open,6208_High,6208_Low,6208_Close,6208_Volume,6208_Sign,690_Open,690_High,690_Low,690_Close,690_Volume,690_Sign,692_Open,692_High,692_Low,692_Close,692_Volume,692_Sign,701_Open,701_High,701_Low,701_Close,701_Volume,701_Sign,713_Open,713_High,713_Low,713_Close,713_Volume,713_Sign
20130102,"1,672.80","1,693.80","1,670.00","1,687.90",40.0,3091.330078,3112.649902,3083.48999,3112.26001,2111300000.0,392.769989,399.820007,392.769989,399.730011,1426.189941,1462.430054,1426.189941,1462.420044,4202600000.0,29.015,29.085,28.98,29.0,12,"6,489",463,290.4,293.45,289.4,292.25,846,849.8,840.2,847,"7,720","7,804","7,702","7,772",54.0,54.65,53.9,54.4,"16,487",0,25.75,26.1,25.75,26.09,277,-1,32.3,32.76,32.3,32.72,26,-1,23.3,23.3,22.92,23.26,42,-1,19.5,19.5,19.15,19.4,20,-1,11.4,11.5,11.38,11.47,"2,210",-1,22.83,23.05,22.83,22.95,"1,623",1,31.59,31.94,31.59,31.94,69,1,32.45,32.45,32.12,32.12,2,-1,24.65,24.65,24.65,24.65,2,-1,10.18,10.3,10.11,10.24,254,-1,26.16,26.16,26.11,26.11,28,1,38.54,38.93,38.45,38.82,"1,574",1,30.78,31.16,30.77,31.02,79,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130103,"1,686.10","1,686.80","1,662.00","1,673.70",140.0,3108.48999,3118.179932,3092.280029,3100.570068,1769420000.0,396.959991,400.670013,396.26001,397.540009,1462.420044,1465.469971,1455.530029,1459.369995,3829730000.0,29.0,29.055,28.965,28.98,44,"1,099","1,522",293.8,294.9,293.1,293.6,852,854.2,848.4,849.8,"7,811","7,836","7,803","7,823",54.9,55.05,54.65,54.85,"29,020",1,26.2,26.3,26.1,26.12,139,1,32.76,33.0,32.12,32.12,108,-1,23.29,23.34,23.11,23.11,34,-1,19.4,19.5,19.31,19.37,14,-1,11.53,11.55,11.48,11.49,"2,023",1,23.05,23.15,23.05,23.06,"1,423",1,32.26,32.26,31.9,31.93,50,-1,32.29,32.29,31.96,31.96,115,-1,24.82,24.82,24.67,24.67,13,1,10.25,10.33,10.25,10.28,139,1,26.4,26.5,26.4,26.5,8,1,39.08,39.1,38.98,39.06,"1,038",1,31.29,31.3,31.21,31.28,61,1,,,,,,,,,,,,,,,,,,,,,,,,
20130104,"1,647.00","1,658.30","1,625.70","1,648.10",200.0,3100.8798829999996,3108.439941,3090.810059,3101.659912,1745140000.0,397.850006,398.589996,395.0,397.679993,1459.369995,1467.939941,1458.98999,1466.469971,3424290000.0,28.98,29.06,28.98,29.017,-619,"-6,058",319,292.7,293.0,290.25,290.9,850,850,838.8,839.2,"7,800","7,809","7,751","7,774",54.85,54.85,54.4,54.5,"9,837",-1,26.12,26.12,25.74,26.0,88,-1,32.4,32.64,32.4,32.48,59,1,23.12,23.12,22.93,22.97,21,-1,19.4,19.4,19.4,19.4,14,1,11.48,11.48,11.38,11.38,"1,476",-1,23.06,23.06,22.9,22.95,521,-1,32.04,32.04,31.87,31.87,18,-1,32.2,32.3,32.2,32.3,55,1,24.45,24.45,24.45,24.45,5,-1,10.28,10.33,10.21,10.28,59,0,26.35,26.37,26.35,26.37,21,-1,38.93,38.93,38.74,38.82,231,-1,31.25,31.25,31.03,31.03,48,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130107,"1,656.50","1,659.90","1,643.80","1,645.50",50.0,3089.169922,3102.350098,3083.8798829999996,3098.810059,1702540000.0,395.709991,397.559998,393.839996,395.77999900000003,1466.469971,1466.469971,1456.619995,1461.890015,3304970000.0,29.005,29.075,28.99,29.01,"-1,680","-5,754",-13,290.0,290.9,287.5,288.75,833.2,844.2,833.2,841.6,"7,743","7,774","7,700","7,742",54.55,54.55,53.9,54.25,"8,910",-1,25.9,25.91,25.82,25.84,39,-1,32.12,32.12,32.06,32.09,25,-1,22.9,22.9,22.75,22.81,27,-1,19.35,19.35,19.21,19.21,4,-1,11.38,11.42,11.35,11.39,"1,184",1,22.95,23.0,22.82,22.97,951,1,31.87,31.87,31.87,31.87,0,0,31.94,31.94,31.94,31.94,2,-1,24.36,24.4,24.36,24.36,21,-1,10.28,10.33,10.28,10.3,205,1,26.05,26.05,26.05,26.05,15,-1,38.77,38.77,38.5,38.65,262,-1,30.85,30.95,30.78,30.95,17,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130108,"1,647.70","1,659.50","1,647.70","1,661.50",20.0,3098.459961,3103.389893,3076.600098,3091.810059,1744380000.0,395.399994,396.559998,391.059998,391.359985,1461.890015,1461.890015,1451.640015,1457.150024,3601600000.0,28.99,29.06,28.98,29.06,"-1,256","-6,836",-688,288.3,288.9,285.95,287.65,842,842.8,837,839.6,"7,732","7,747","7,673","7,705",54.0,54.2,53.65,53.9,"12,507",-1,25.84,25.84,25.64,25.68,33,-1,32.0,32.2,31.72,31.72,20,-1,22.9,22.9,22.72,22.72,8,-1,19.21,19.21,19.01,19.01,15,-1,11.39,11.42,11.32,11.36,"1,338",-1,22.95,22.97,22.78,22.8,718,-1,31.71,31.71,31.55,31.61,11,-1,32.06,32.06,31.9,31.9,6,-1,24.53,24.53,24.5,24.51,22,1,10.3,10.33,10.21,10.29,58,-1,25.85,25.85,25.85,25.85,10,-1,38.55,38.56,38.33,38.4,604,-1,30.75,30.77,30.6,30.73,15,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130109,"1,658.60","1,662.10","1,651.20","1,654.80",10.0,3099.649902,3111.219971,3096.340088,3105.810059,1732510000.0,393.350006,395.519989,392.869995,395.47000099999997,1457.150024,1464.72998,1457.150024,1461.02002,3674390000.0,29.037,29.075,28.987,28.997,-106,-360,502,287.0,290.1,286.75,288.75,839.6,846.8,836,843.6,"7,686","7,774","7,682","7,740",53.75,54.3,53.75,54.1,"7,529",1,25.68,26.0,25.67,25.78,42,1,31.9,32.15,31.9,32.15,11,1,22.7,22.8,22.7,22.8,3,1,19.15,19.15,19.14,19.14,4,1,11.36,11.45,11.36,11.41,"1,207",1,22.8,22.99,22.77,22.89,276,1,31.53,31.78,31.52,31.78,31,1,31.9,31.9,31.9,31.9,0,0,24.53,24.53,24.53,24.53,5,1,10.29,10.41,10.29,10.41,99,1,26.05,26.05,26.05,26.05,12,1,38.4,38.75,38.4,38.67,335,1,30.8,30.95,30.8,30.86,15,1,,,,,,,,,,,,,,,,,,,,,,,,
20130110,"1,672.50","1,673.80","1,672.50","1,677.30",10.0,3125.639893,3127.719971,3098.469971,3121.76001,1754240000.0,399.47000099999997,401.350006,397.48999,400.730011,1461.02002,1472.300049,1461.02002,1472.119995,4081840000.0,29.0,29.06,28.89,28.933000000000003,747,"8,771",233,289.3,291.15,288.65,290.85,845.6,861.2,845,861,"7,762","7,846","7,759","7,836",54.3,54.65,54.15,54.5,"13,953",1,25.86,26.12,25.86,25.98,149,1,32.11,32.3,32.01,32.01,34,-1,22.68,22.81,22.68,22.81,26,1,19.19,19.2,19.14,19.15,11,1,11.44,11.63,11.44,11.59,"3,520",1,22.95,23.08,22.95,23.06,625,1,31.66,32.04,31.65,32.04,15,1,31.92,31.92,31.92,31.92,0,1,24.53,24.53,24.53,24.53,0,0,10.45,10.5,10.41,10.43,119,1,26.05,26.05,26.05,26.05,0,0,38.87,39.12,38.75,39.05,605,1,30.91,31.21,30.91,31.18,84,1,,,,,,,,,,,,,,,,,,,,,,,,
20130111,"1,673.10","1,673.10","1,654.20","1,660.00",150.0,3122.1201170000004,3126.590088,3114.100098,3125.6298829999996,1772600000.0,400.75,403.230011,400.5,402.859985,1472.119995,1472.75,1467.579956,1472.050049,3340650000.0,28.96,29.0,28.9,28.947,-325,"3,066",-245,291.95,292.2,289.0,289.75,864.2,866,855.6,856,"7,863","7,867","7,796","7,799",54.7,54.8,54.35,54.45,"11,837",-1,26.1,26.3,26.1,26.18,280,1,32.45,32.55,32.4,32.48,52,1,22.9,23.09,22.82,22.92,46,1,19.38,19.48,19.22,19.4,37,1,11.63,11.7,11.6,11.6,"1,963",1,23.1,23.14,23.0,23.03,423,-1,32.06,32.26,32.06,32.26,8,1,32.43,32.44,32.37,32.37,34,1,25.11,25.18,25.11,25.18,14,1,10.45,10.45,10.4,10.4,15,-1,26.11,26.5,26.11,26.3,50,1,39.2,39.2,38.95,38.98,403,-1,31.26,31.26,31.02,31.13,29,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130114,"1,665.40","1,673.80","1,664.10","1,668.90",10.0,3113.649902,3123.47998,3104.080078,3117.5,1876050000.0,401.459991,403.019989,398.679993,401.890015,1472.050049,1472.050049,1465.689941,1470.680054,3003010000.0,28.94,28.985,28.906999999999996,28.912,-475,"-1,559",76,288.9,291.2,287.0,291.2,852,861,846.2,861,"7,730","7,828","7,705","7,827",54.0,54.5,53.8,54.5,"7,282",1,26.18,26.18,26.0,26.18,88,0,32.51,33.0,32.51,33.0,3,1,22.68,23.01,22.67,23.01,10,1,19.1,19.1,19.03,19.03,4,-1,11.53,11.61,11.43,11.61,"2,516",1,22.93,23.15,22.84,23.15,415,1,31.91,31.91,31.5,31.5,31,-1,32.37,32.37,32.37,32.37,0,0,24.98,24.98,24.98,24.98,1,-1,10.4,10.4,10.34,10.4,63,0,26.1,26.1,26.1,26.1,10,-1,38.62,38.99,38.48,38.99,340,1,30.72,31.01,30.7,31.01,23,-1,,,,,,,,,,,,,,,,,,,,,,,,
20130115,"1,671.60","1,684.30","1,671.60","1,683.40",20.0,3101.060059,3112.290039,3093.320068,3110.780029,1852870000.0,400.059998,400.390015,398.100006,399.869995,1470.670044,1473.310059,1463.76001,1472.339966,3135350000.0,28.95,29.0,28.9,28.951,"-1,280","-3,779","-1,138",290.05,290.25,286.7,287.5,860,863,851.6,853,"7,800","7,812","7,728","7,741",54.2,54.45,53.9,54.0,"6,609",-1,26.18,26.18,25.9,25.9,48,-1,32.74,32.74,32.46,32.46,2,-1,22.86,22.86,22.86,22.86,14,-1,19.06,19.18,19.05,19.14,33,1,11.6,11.66,11.51,11.55,"2,163",-1,23.1,23.2,23.04,23.07,839,-1,31.87,31.9,31.71,31.71,33,1,32.6,32.6,32.4,32.45,3,1,24.94,25.04,24.94,25.04,12,1,10.4,10.43,10.3,10.35,108,-1,26.2,26.2,26.1,26.1,42,0,38.8,38.87,38.5,38.58,670,-1,31.0,31.0,30.75,30.8,34,-1,,,,,,,,,,,,,,,,,,,,,,,,
