Code,Date,Open,High,Low,Close,Volume,SOX_Open,SOX_High,SOX_Low,SOX_Close
52,1/2/13,32.3,32.76,32.3,32.72,26,392.769989,399.820007,392.769989,399.730011
52,1/3/13,32.76,33,32.12,32.12,108,396.959991,400.670013,396.26001,397.540009
52,1/4/13,32.4,32.64,32.4,32.48,59,397.850006,398.589996,395,397.679993
52,1/7/13,32.12,32.12,32.06,32.09,25,395.709991,397.559998,393.839996,395.779999
52,1/8/13,32,32.2,31.72,31.72,20,395.399994,396.559998,391.059998,391.359985
52,1/9/13,31.9,32.15,31.9,32.15,11,393.350006,395.519989,392.869995,395.470001
52,1/10/13,32.11,32.3,32.01,32.01,34,399.470001,401.350006,397.48999,400.730011
52,1/11/13,32.45,32.55,32.4,32.48,52,400.75,403.230011,400.5,402.859985
52,1/14/13,32.51,33,32.51,33,3,401.459991,403.019989,398.679993,401.890015
52,1/15/13,32.74,32.74,32.46,32.46,2,400.059998,400.390015,398.100006,399.869995
52,1/16/13,32.02,32.39,32.02,32.05,10,399.730011,405.51001,399.630005,404.459991
52,1/17/13,32.51,32.51,31.74,31.74,10,405.299988,413.269989,405.299988,412.529999
52,1/18/13,32.4,32.4,32.38,32.38,2,409.679993,412.160004,408.679993,410.640015
52,1/21/13,32.25,32.25,32.2,32.2,2,409.679993,412.160004,408.679993,410.640015
52,1/22/13,32.34,32.34,32.34,32.34,1,410.290009,410.290009,407.059998,409.600006
52,1/23/13,32.5,32.5,31.85,31.85,4,411.920013,414.440002,409.920013,413.880005
52,1/24/13,32.25,32.25,32.25,32.25,4,409.23999,413.880005,407.440002,410.23999
52,1/25/13,32.21,32.21,32.14,32.14,2,412.790009,417.359985,412.769989,415.440002
52,1/28/13,32.3,32.3,32.3,32.3,1,416.040009,417.709991,414.98999,416.160004
52,1/29/13,32.67,32.88,32.66,32.88,17,414.279999,415.040009,411.959991,413.279999
52,1/30/13,32.9,33,32.9,33,18,413.290009,416.410004,413.230011,414.100006
