ETFid,Mon_ud,Mon_cprice,Tue_ud,Tue_cprice,Wed_ud,Wed_cprice,Thu_ud,Thu_cprice,Fri_ud,Fri_cprice
50,-1,80.73143768310547,1,80.7766342163086,-1,80.61451721191406,-1,80.5796127319336,-1,80.57852935791016
51,-1,33.90238571166992,-1,33.78342056274414,-1,33.73637008666992,-1,33.724327087402344,-1,33.720340728759766
52,-1,51.15705490112305,-1,50.98460388183594,-1,50.87778091430664,-1,50.85481643676758,-1,50.84930419921875
53,-1,35.64051818847656,-1,35.51555252075195,-1,35.483253479003906,1,35.48601150512695,1,35.488216400146484
54,1,24.259262084960938,-1,24.2318172454834,-1,24.194732666015625,-1,24.181182861328125,-1,24.1776180267334
55,-1,17.29640007019043,-1,17.22041130065918,-1,17.17038917541504,-1,17.155929565429688,-1,17.15357208251953
56,-1,26.2271671295166,-1,26.11772918701172,-1,26.076324462890625,-1,26.07177734375,1,26.073354721069336
57,-1,49.609886169433594,-1,49.48025131225586,-1,49.44245147705078,1,49.44709014892578,1,49.44972610473633
58,1,47.332828521728516,-1,47.22911071777344,-1,47.170997619628906,1,47.17941665649414,1,47.18504333496094
59,-1,41.708717346191406,-1,41.299861907958984,-1,41.188629150390625,-1,41.162315368652344,-1,41.15810775756836
6201,-1,14.478031158447266,-1,14.41298770904541,-1,14.368639945983887,-1,14.355254173278809,-1,14.351788520812988
6203,-1,37.63029479980469,-1,37.49647521972656,-1,37.45429611206055,-1,37.44535446166992,-1,37.442588806152344
6204,-1,54.18341064453125,-1,54.00851821899414,-1,53.93937683105469,-1,53.917015075683594,-1,53.91277313232422
6208,1,47.26316833496094,-1,47.149269104003906,1,47.1534538269043,-1,47.13679885864258,-1,47.13525390625
690,-1,21.809553146362305,-1,21.78936004638672,1,21.800695419311523,1,21.806123733520508,1,21.806991577148438
692,1,21.216459274291992,1,21.225553512573242,1,21.229900360107422,1,21.23092269897461,1,21.231082916259766
701,-1,20.9818172454834,-1,20.974700927734375,-1,20.97439193725586,-1,20.97233772277832,-1,20.971973419189453
713,-1,30.648025512695312,-1,30.553857803344727,-1,30.486391067504883,-1,30.46465492248535,-1,30.457799911499023
